area,club,cidade
Area 1,Rotaract Club de Agudos,Agudos
Area 1,Rotaract Club de Botucatu Bons Ares,Botucatu
Area 1,Rotaract Club de Len��is Paulista,Lençóis Paulista
Area 1,Rotaract Club de Len��is Paulista Cidade do Livro,Lençóis Paulista
Area 1,Rotaract Club de Macatuba,Macatuba
Area 1,Rotaract Club de Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo
Area 1,Rotaract Club de S?o Manuel,São Manuel
Area 2,Rotaract Club de Americana,Americana
Area 2,Rotaract Club de Americana A�?o,Americana
Area 2,Rotaract Club de Luiz de Queiroz,Piracicaba
Area 2,Rotaract Club de Piracicaba,Piracicaba
Area 2,Rotaract Club de Piracicaba Aeon,Piracicaba
Area 2,Rotaract Club de Piracicaba - Distrito de Tupi,Piracicaba
Area 2,Rotaract Club de Rio das Pedras,Rio das Pedras
Area 3,Rotaract Club de Cabre�va,Cabreúva
Area 3,Rotaract Club de Indaiatuba,Indaiatuba
Area 3,Rotaract Club de Indaiatuba Votura,Indaiatuba
Area 3,Rotaract Club de Itu Conven�?o,Itu
Area 3,Rotaract Club de Salto Moutonn�e,Salto
Area 4,Rotaract Club de Sorocaba Art Nossa,Sorocaba
Area 4,Rotaract Club de Sorocaba Leste,Sorocaba
Area 4,Rotaract Club de Sorocaba Manchester,Sorocaba
Area 4,Rotaract Club de Sorocaba Vergueiro,Sorocaba
Area 5,Rotaract Club de Boituva Sul,Boituva
Area 5,Rotaract Club de Cap?o Bonito,Capão Bonito
Area 5,Rotaract Club de Itapeva,Itapeva
Area 5,Rotaract Club de Tatu�,Tatuí
