area,club,cidade
Area 1 ,Rotaract Club de Agudos,Agudos
Area 1 ,Rotaract Club de Botucatu Bons Ares,Botucatu
Area 1 ,Rotaract Club de Lençóis Paulista,Lençóis Paulista
Area 1 ,Rotaract Club de Lençóis Paulista Cidade do Livro,Lençóis Paulista
Area 1 ,Rotaract Club de Macatuba,Macatuba
Area 1 ,Rotaract Club de Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo
Area 1 ,Rotaract Club de S?o Manuel,S?o Manuel
Area 2,Rotaract Club de Americana,Americana
Area 2,Rotaract Club de Americana Aç?o,Americana
Area 2,Rotaract Club de Luiz de Queiroz,Piracicaba
Area 2,Rotaract Club de Piracicaba,Piracicaba
Area 2,Rotaract Club de Piracicaba Aeon,Piracicaba
Area 2,Rotaract Club de Rio das Pedras,Rio das Pedras
Area 3,Rotaract Club de Cabreúva,Indaiatuba
Area 3,Rotaract Club de Indaiatuba,Indaiatuba
Area 3,Rotaract Club de Indaiatuba Votura,Indaiatuba
Area 3,Rotaract Club de Itu Convenç?o,Itu
Area 3,Rotaract Club de Salto Moutonnée,Salto
Area 4,Rotaract Club de Boituva-Sul,Boituva
Area 4,Rotaract Club de Cap?o Bonito,Cap?o Bonito
Area 4,Rotaract Club de Cerquilho,Cerquilho
Area 4,Rotaract Club de Sorocaba Art-Nossa Inovaç?o,Sorocaba
Area 4,Rotaract Club de Sorocaba-Leste,Sorocaba
Area 4,Rotaract Club de Sorocaba-Manchester,Sorocaba
Area 4,Rotaract Club de Sorocaba-Vergueiro,Sorocaba
Area 4,Rotaract Club de Tatuí,Tatuí
Area 4,Rotaract Club de Itapeva,Itapeva
