area,club,cidade
Area 1 ,Rotaract Club de Agudos,Agudos
Area 1 ,Rotaract Club de Botucatu Bons Ares,Botucatu
Area 1 ,Rotaract Club de Lençóis Paulista,Lençóis Paulista
Area 1 ,Rotaract Club de Lençóis Paulista Cidade do Livro,Lençóis Paulista
Area 1 ,Rotaract Club de Macatuba,Macatuba
Area 1 ,Rotaract Club de Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo
Area 1 ,Rotaract Club de São Manuel,São Manuel
Area 2,Rotaract Club de Americana,Americana
Area 2,Rotaract Club de Americana Ação,Americana
Area 2,Rotaract Club de Luiz de Queiroz,Piracicaba
Area 2,Rotaract Club de Piracicaba,Piracicaba
Area 2,Rotaract Club de Piracicaba Aeon,Piracicaba
Area 2,Rotaract Club de Rio das Pedras,Rio das Pedras
Area 3,Rotaract Club de Cabreúva,Cabreúva
Area 3,Rotaract Club de Indaiatuba,Indaiatuba
Area 3,Rotaract Club de Indaiatuba Votura,Indaiatuba
Area 3,Rotaract Club de Itu Convenção,Itu
Area 3,Rotaract Club de Salto Moutonnée,Salto
Area 4,Rotaract Club de Boituva-Sul,Boituva
Area 4,Rotaract Club de Capão Bonito,Capão Bonito
Area 4,Rotaract Club de Cerquilho,Cerquilho
Area 4,Rotaract Club de Sorocaba Art-Nossa Inovação,Sorocaba
Area 4,Rotaract Club de Sorocaba-Leste,Sorocaba
Area 4,Rotaract Club de Sorocaba-Manchester,Sorocaba
Area 4,Rotaract Club de Sorocaba-Vergueiro,Sorocaba
Area 4,Rotaract Club de Tatuí,Tatuí
Area 4,Rotaract Club de Itapeva,Itapeva
S Rct,-,Angatuba
S Rct,-,Apiaí
S Rct,-,Araçoiaba da Serra
S Rct,-,Areiopólis
S Rct,-,Avaré
S Rct,-,Bernardino de Campos
S Rct,-,Hortolandia
S Rct,-,Capivari
S Rct,-,Cerqueira César
S Rct,-,Itaí
S Rct,-,Itapetininga
S Rct,-,Itapéva
S Rct,-,Itaporanga
S Rct,-,Piedade
S Rct,-,Pilar do Sul
S Rct,-,Mairinque
S Rct,-,Nova Odessa
S Rct,-,Ourinhos
S Rct,-,Pardinho
S Rct,-,Piraju
S Rct,-,Porto Feliz
S Rct,-,Rafard
S Rct,-,Saltinho
S Rct,-,Salto de Pirapora
S Rct,-,Santa Bárbara d'Oeste
S Rct,-,São Roque
S Rct,-,Sumaré
S Rct,-,Taquarituba
S Rct,-,Tiete
S Rct,-,Votorantim
S RC ,-,Itararé
S RC ,-,Espirito Santo do Turvo
S RC ,-,Paulistânia
S RC ,-,Cabrália Paulista
S RC ,-,Arandu
S RC ,-,Alfredo Guedes
S RC ,-,Anhembi
S RC ,-,Bofete
S RC ,-,Conchas
S RC ,-,Guareí
S RC ,-,Porangaba
S RC ,-,Pereiras
S RC ,-,Cesário Lange
S RC ,-,Quadra
S RC ,-,Jumirim
S RC ,-,Paranapanema
S RC ,-,Buri
S RC ,-,Taquarivaí
S RC ,-,Campininha do Monte Alegre
S RC ,-,Mombuca
S RC ,-,Monte Mor
S RC ,-,Elias Fausto
S RC ,-,Itupeva
S RC ,-,Iperó 
S RC ,-,Capela do Alto
S RC ,-,Alambari
S RC ,-,Araçariguama
S RC ,-,Ibiúna
S RC ,-,Alumínio
S RC ,-,Tapiraí
S RC ,-,Jacupiranga
S RC ,-,Barra do Turvo
S RC ,-,Cajati
S RC ,-,Eldorado
S RC ,-,Iporanga
S RC ,-,Guapiara
S RC ,-,Ribeirão Grande
S RC ,-,Ribeirão Branco
S RC ,-,Nova Campina
S RC ,-,Itaboa
S RC ,-,Bom Sucesso de Itararé
S RC ,-,Campina de Fora
S RC ,-,Barra do Chapéu
S RC ,-,Itapirapuã Paulista
S RC ,-,Ribeira
S RC ,-,Itaóca
S RC ,-,São Miguel Arcanjo
S RC ,-,Itaberá
S RC ,-,Campina do Monte Alegre
S RC ,-,Sarapuí
S RC ,-,Iperó
S RC ,-,Laranjal Paulista
S RC ,-,Tietê
S RC ,-,Cabreúva
S RC ,-,Areiópolis
S RC ,-,Pratânia
S RC ,-,Itatinga
S RC ,-,São Bento
S RC ,-,Manduri
S RC ,-,Batista Botelho
S RC ,-,Óleo
S RC ,-,Borebi
S RC ,-,Espírito Santo do Turvo
S RC ,-,Chavantes
S RC ,-,Ipaussu
S RC ,-,Fartura
S RC ,-,Taguaí
S RC ,-,Tejupá
S RC ,-,
S RC ,-,Taquaras
S RC ,-,Boa Vista
S RC ,-,Timburi
S RC ,-,Sarutaiá
S RC ,-,Canitar
S RC ,-,São Pedro do Turvo
S RC ,-,Campos Novos Paulista
S RC ,-,Ocauçu
S RC ,-,Ocaçu
S RC ,-,Campos Novos Paulista
S RC ,-,Ribeirão do Sul
S RC ,-,Lupércio
S RC ,-,Alvilândia
S RC ,-,Ubirajara
S RC ,-,Domélia
S RC ,-,Óleo
S RC ,-,Iaras
S RC ,-,Manduri
S RC ,-,Canitar
S RC ,-,Chavantes
S RC ,-,Ipaussu
S RC ,-,Alvinlândia
S RC ,-,Coronel Macedo
S RC ,-,Barão de Antonina
S RC ,-,Riversul
S RC ,-,
S RC ,-,Águas de Santa Bárbara
S RC ,-,Torre de Pedra
